station_name,type,latitude,longitude
QUEENSTOWN MRT STATION,mrt,1.294550852,103.8060772
RAFFLES PLACE MRT STATION,mrt,1.284125611,103.8514617
REDHILL MRT STATION,mrt,1.289634533,103.816741
ROCHOR MRT STATION,mrt,1.303852185,103.8527694
SEMBAWANG MRT STATION,mrt,1.449050821,103.8200461
SENGKANG MRT STATION,mrt,1.391694626,103.8954847
SERANGOON MRT STATION,mrt,1.350633615,103.8727717
SHENTON WAY MRT STATION,mrt,1.27773022,103.8504057
SIGLAP MRT STATION,mrt,1.309994844,103.930297
SIMEI MRT STATION,mrt,1.343202895,103.9533717
SIXTH AVENUE MRT STATION,mrt,1.330857645,103.7969068
SOMERSET MRT STATION,mrt,1.300252877,103.8391583
SPRINGLEAF MRT STATION,mrt,1.397577907,103.8177995
STADIUM MRT STATION,mrt,1.302812469,103.8753377
STEVENS MRT STATION,mrt,1.320065558,103.8260244
SUNGEI BEDOK MRT STATION,mrt,1.320398759,103.957242
TAI SENG MRT STATION,mrt,1.335102085,103.888433
TAMPINES EAST MRT STATION,mrt,1.356191483,103.9546345
TAMPINES MRT STATION,mrt,1.353301533,103.9451447
TAMPINES WEST MRT STATION,mrt,1.345515305,103.938437
TAN KAH KEE MRT STATION,mrt,1.325556235,103.8077603
TANAH MERAH MRT STATION,mrt,1.327187135,103.9463465
TANJONG KATONG MRT STATION,mrt,1.299254413,103.8973771
TANJONG PAGAR MRT STATION,mrt,1.276604487,103.8459522
TANJONG RHU MRT STATION,mrt,1.297218218,103.8734884
TELOK AYER MRT STATION,mrt,1.282068948,103.8486488
TELOK BLANGAH MRT STATION,mrt,1.270706478,103.8097616
TIONG BAHRU MRT STATION,mrt,1.286194579,103.8269989
TOA PAYOH MRT STATION,mrt,1.332628987,103.8475018
TUAS CRESCENT MRT STATION,mrt,1.321026553,103.6490755
TUAS LINK MRT STATION,mrt,1.340866096,103.6369856
TUAS WEST ROAD MRT STATION,mrt,1.329989089,103.6396141
UBI MRT STATION,mrt,1.329974629,103.8992267
UPPER CHANGI MRT STATION,mrt,1.341737484,103.9614718
UPPER THOMSON MRT STATION,mrt,1.354416434,103.8328985
WOODLANDS MRT STATION,mrt,1.436968247,103.7864625
WOODLANDS NORTH MRT STATION,mrt,1.44746541,103.7865007
WOODLANDS SOUTH MRT STATION,mrt,1.427433416,103.7932446
WOODLEIGH MRT STATION,mrt,1.339190046,103.8708183
XILIN MRT STATION,mrt,1.328899141,103.9652185
YEW TEE MRT STATION,mrt,1.397535018,103.7474051
YIO CHU KANG MRT STATION,mrt,1.381756046,103.8449473
YISHUN MRT STATION,mrt,1.429443081,103.835005
BAKAU LRT STATION,mrt,1.387992934,103.905414
BANGKIT LRT STATION,mrt,1.38002223,103.7726474
BEACH LRT STATION,mrt,1.251290102,103.8178023
BUKIT PANJANG LRT STATION,mrt,1.377926129,103.763103
CHENG LIM LRT STATION,mrt,1.396277631,103.8937972
CHOA CHU KANG LRT STATION,mrt,1.384755411,103.7445377
COMPASSVALE LRT STATION,mrt,1.394493046,103.9004925
CORAL EDGE LRT STATION,mrt,1.393909226,103.9125809
COVE LRT STATION,mrt,1.399281985,103.9059619
DAMAI LRT STATION,mrt,1.405234836,103.9086035
FAJAR LRT STATION,mrt,1.384520797,103.7708086
FARMWAY LRT STATION,mrt,1.397170196,103.8893048
FERNVALE LRT STATION,mrt,1.391885888,103.8763086
IMBIAH LRT STATION,mrt,1.253936634,103.8195
JELAPANG LRT STATION,mrt,1.386703025,103.7645033
KADALOOR LRT STATION,mrt,1.399509113,103.916575
KANGKAR LRT STATION,mrt,1.383959115,103.9022254
KEAT HONG LRT STATION,mrt,1.378602766,103.7490555
KUPANG LRT STATION,mrt,1.398212828,103.8812562
LAYAR LRT STATION,mrt,1.392079839,103.8800296
MERIDIAN LRT STATION,mrt,1.396912053,103.9089502
NIBONG LRT STATION,mrt,1.411870458,103.9003138
OASIS LRT STATION,mrt,1.402286677,103.9127274
PENDING LRT STATION,mrt,1.376135744,103.7712612
PETIR LRT STATION,mrt,1.377750334,103.766669
PHOENIX LRT STATION,mrt,1.378618844,103.7580341
PUNGGOL LRT STATION,mrt,1.405194701,103.9024119
PUNGGOL POINT LRT STATION,mrt,1.416848521,103.9066508
RANGGUNG LRT STATION,mrt,1.384233561,103.8971947
RENJONG LRT STATION,mrt,1.386723922,103.8905394
RIVIERA LRT STATION,mrt,1.394524496,103.9161661
RUMBIA LRT STATION,mrt,1.391468497,103.9059736
SAM KEE LRT STATION,mrt,1.409612685,103.9048316
SAMUDERA LRT STATION,mrt,1.415901719,103.9021563
SEGAR LRT STATION,mrt,1.387772131,103.7695984
SENGKANG LRT STATION,mrt,1.391609364,103.8954426
SENJA LRT STATION,mrt,1.382692296,103.7623672
SENTOSA LRT STATION,mrt,1.265050843,103.8216246
SOO TECK LRT STATION,mrt,1.405088585,103.8972097
SOUTH VIEW LRT STATION,mrt,1.380298287,103.7452918
SUMANG LRT STATION,mrt,1.408452426,103.8985585
TECK LEE LRT STATION,mrt,1.412770894,103.9065776
TECK WHYE LRT STATION,mrt,1.376684679,103.7537122
TEN MILE JUNCTION LRT STATION,mrt,1.380321008,103.7601398
THANGGAM LRT STATION,mrt,1.397318156,103.8756352
TONGKANG LRT STATION,mrt,1.389347954,103.8858442
WATERFRONT LRT STATION,mrt,1.255532133,103.8209497
